Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
02/01/2015,"108 THE HARDWICKE VILLAGE, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,138000,No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"12 THE CEDARS, MONKSTOWN VALLEY, MONKSTOWN",,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"148 DEEL MANOR, ASKEATON, CO LIMERICK",,Limerick,67000,No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"4 SHREWSBURY, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,900000,No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"41 THE BRIARY, BLAINROE, WICKLOW",,Wicklow,176000,Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"5 ASSUMPTION PLACE, CLONAKILTY, CORK",,Cork,155000,No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"Coore East, Mullagh, County Clare",,Clare,100000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/01/2015,"Kilerrin Road, Moylough, Ballinasloe",,Galway,120000,No,No,Second-Hand Dwelling house /Apartment,
02/01/2015,"PAINSTOWN, DONADEA, KILDARE",,Kildare,470000,No,No,Second-Hand Dwelling house /Apartment,
03/01/2015,"21 THE VIEW, ST WOLSTANS ABBEY, CELBRIDGE",,Kildare,140000,No,No,Second-Hand Dwelling house /Apartment,
03/01/2015,"46 HOLYWELL, UPR KILMACUD RD, DUBLIN 14",Dublin 14,Dublin,592000,No,No,Second-Hand Dwelling house /Apartment,
04/01/2015,"29 ST MARYS TCE, KILLARNEY, KERRY",,Kerry,85000,No,No,Second-Hand Dwelling house /Apartment,
04/01/2015,"73 FORBES QUAY, DUBLIN",Dublin 2,Dublin,422500,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"1 WELLINGTON MEWS, COLLEGE ROAD, CORK",,Cork,225000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"107 SALMONVIEW APARTMENTS, BARRET STREET, BALLINA",,Mayo,55000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"11 Drumcrest, Knock",,Mayo,31000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2015,"11 THE MEWS, HOOK VIEW, COXTOWN EAST - DUNMORE EAST",,Waterford,105000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"12 ASSUMPTA PARK, ISLAND ROAD, LIMERICK",,Limerick,30000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"12 VILLA PARK AVE, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,510000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"12 VILLAGE COURT, BALLYHAISE, CO CAVAN",,Cavan,50000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"147 OWENS AVE, CEANNT FORT, KILMAINHAM DUBLIN 8",Dublin 8,Dublin,306000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"15 WALSHESTOWN ABBEY, NEWBRIDGE, KILDARE",,Kildare,410000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"16 THE HEIGHTS, ROBSWALL, MALAHIDE",,Dublin,650000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"167 CRUISE PARK DR, TYRELLSTOWN, DUBLIN 15",Dublin 15,Dublin,160000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"17 THE COURT YARD, COLLEGE WOOD MANOR, CLANE",,Kildare,113000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"2 LINNETFIELDS COURT, CASTAHEANY, CLONEE",Dublin 15,Dublin,142000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"2 PARK GROVE, PARK ROAD, KILLARNEY",,Kerry,135000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"22 THE MILL STREAM, BLACKBOG RD, CARLOW",,Carlow,135000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"243 SEAPARK, MALAHIDE, DUBLIN",Dublin 3,Dublin,740000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"25 Kilcaragh Lawn, Lixnaw",,Kerry,97850,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2015,"25 NEW ROW SQ, NEW ROW SOUTH, DUBLIN 8",Dublin 8,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"26 COILL FUINNSEOGHE, ST CONLONS ROAD, NENAGH",,Tipperary,90000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"2892 SAINT PATRICK'S PARK, KILL, CO. KILDARE",,Kildare,125000,No,No,Second-Hand Dwelling house /Apartment,
